NAVN,POSITION,KLUB,PLAYER_WYID,PLAYER_OPTAUUID,COMPETITION_WYID,COMPETITION_OPTAUUID
Bertram Bangsted Kvist,Midfielder,Næstved BK,625209,cqgmx6eiriomccxfhykh31r10,335,29actv1ohj8r10kd9hu0jnb0n
Bertram Christensen,Defender,,7074868,1032ewncq8niyuy1y332aqzsbedck,1305,
Bertram Damgaard Corvenius,Forward,Randers FC Under 17,1073594,,,1305,
Bertram Manniche,Midfielder,BK Fremad Amager,764623,,,329,
Bertram Morgenstjærne,Goalkeeper,,2714891,2162,1305,
Bertram Peter Skovgaard,Forward,,7639178,9788cimgdip8em45rbnjq5fwlrx90,328,dyjr458hcmrcy87fsabfsy87o
Bertram Vad Østergaard,Midfielder,Hobro IK Under 19,841192,,,1305,
Berzan Kücükylidiz,Midfielder,Hillerød,815332,bpldj4qdzfdm1n739atcadbmc,329,
Bilal Brahimi,Forward,Viborg FF,708579,1gvxmoo1twyf8isqq9ekrj6ga,335,29actv1ohj8r10kd9hu0jnb0n
Bilal Konteh Krubally,Defender,FC Midtjylland Under 19,915266,,,1305,
Bilal Masaad,Defender,Ishøj IF,549028,,,328,dyjr458hcmrcy87fsabfsy87o
Bille Jepsen,Defender,,3832476,91657ppaqp6sde6a6ie4kms7wdt61,1305,
Birger Solberg Meling,Defender,FC København,301028,,,335,29actv1ohj8r10kd9hu0jnb0n
Birk Robin Boman,Midfielder,1226356,,,43319,
Bismark Edjeodji,Midfielder,Vejle Boldklub,927175,4nzauesd85d6utkwdc1s1a1as,335,29actv1ohj8r10kd9hu0jnb0n
Bjarne Pudel,Defender,AaB,521378,8vi3l756ez0e96k7muvg4ekbu,335,29actv1ohj8r10kd9hu0jnb0n
Bjarni Adalsteinsson,Midfielder,FC Roskilde,608487,,,329,
Bjørn Paludan,Forward,Frederiksberg Alliancen 2000,846668,,,43319,
Bjørn Paulsen,Defender,OB,5629,dqtarwrqvkopmzbt2ovp2dln9,335,29actv1ohj8r10kd9hu0jnb0n
Blend Istrefi,Forward,IF Lyseng,622585,9wy9ws7o9iuaenyo5ecuhj4es,1305,
Bohdan Kalinichenko,Goalkeeper,Vejgaard Boldspilklub,776446,,,43319,
Bojang Yaya,Defender,OB,945200,,,1305,
Brandt Helmer Emil,Midfielder,Boldklubben af 1893 Under 17,1085213,,,328,dyjr458hcmrcy87fsabfsy87o
Breki Baldursson,Midfielder,Esbjerg,835759,6lxkawhg9z2jyh7u8d6hp3g15,1305,
Bror Blume,Midfielder,Lyngby,562511,acmsp1ulfijcrryff1qibdud,328,dyjr458hcmrcy87fsabfsy87o
Buster Stage,Goalkeeper,Næsby BK,678942,14fw7p4fzaxprndgxnx0gxgbt4,43319,
Caleb Marfo Yirenkyi,Midfielder,FC Nordsjælland,1053585,,,1305,
Caleb Sweeney,Midfielder,,2373411,31296,1305,
Calle Mogensen,Goalkeeper,1100417,,,329,
Callum McCowatt,Midfielder,Silkeborg IF,404162,349g9rdismqpb1aarjp011bd,328,dyjr458hcmrcy87fsabfsy87o
Carl Alfred Maslen,Goalkeeper,Ishøj IF,775167,3th83n9qum31wu53g68j5iwic,329,
Carl Björk,Forward,B 93,382384,x3ad9hfxts6jpfugy3kvq9d5,335,29actv1ohj8r10kd9hu0jnb0n
Carl Carøe Nygaard,Midfielder,Aarhus Fremad,707024,dgcbjg2ymgi70yv1n8ugkv02c,328,dyjr458hcmrcy87fsabfsy87o
Carl Cordua Andersen,Defender,Ishøj IF,519560,,,329,
Carl Emil Lauridsen,Midfielder,Esbjerg fB Under 19,766613,efh8bbfaqg4riyedthbbviuad,1305,
Carl Ernest Hope Kristoffersen,Goalkeeper,,2015683,4942,1305,
Carl Gustav Elmose,Midfielder,Silkeborg IF Under 19,769210,,,1305,
Carl Ørsøe Christensen,Midfielder,,6512268,2110ewncq8niyuy1y332aqzsbedck,335,29actv1ohj8r10kd9hu0jnb0n
Carl-Emil Husmer,Defender,Lyngby Boldklub Under 19,680981,,,1305,
Casper Froulund,Forward,BK Frem 1886,1072267,,,329,
Casper Gandrup Hansen,Midfielder,Odder IGF,436471,,,329,
Casper Grening,Forward,Akademisk Boldklub,519704,,,329,
Casper Harvest,Midfielder,Næsby BK,1320059,,,43319,
Casper Holmelund,Forward,FC Helsingør,824711,5moycfv7blzfnjqiruao7dv6c,328,dyjr458hcmrcy87fsabfsy87o
Casper Illum,Midfielder,Sundby BK,1085388,1ymwmar0x3ubztwm63pwspy39,43319,
Casper Johan Hjorth Svart,Defender,,2373476,9128,1305,
Casper Jørgensen,Midfielder,Kolding,519681,vrzye4jqrafujmjw3wakjpxw,328,dyjr458hcmrcy87fsabfsy87o
Casper Kaarsbo Winther,Midfielder,Lyngby,551993,,,335,29actv1ohj8r10kd9hu0jnb0n
Casper Nygaard,Goalkeeper,Skive IK,1122900,dgcbjg2ymgi70yv1n8ugkv02c,329,
Casper Radza,Goalkeeper,Middelfart,561218,i16xur310p25unjt0zjrluj9,335,29actv1ohj8r10kd9hu0jnb0n
Casper Risbjerg Andreasen,Midfielder,3978392,6845,,,328,dyjr458hcmrcy87fsabfsy87o
Casper Seiger Behrens,Defender,Randers FC Under 19,962802,,,1305,
Casper Ulrich Strømmen,Forward,Hørsholm-Usserød IK,1215298,,,43319,
Casper Vedel Birch Andersen,Goalkeeper,VSK Århus,844064,,,329,
