NAVN,POSITION,KLUB,PLAYER_WYID,PLAYER_OPTAUUID,COMPETITION_WYID,COMPETITION_OPTAUUID
Danis Faljic,Midfielder,Boldklubben af 1893 Under 19,798309,dme4jqo3w3abg6z0vt1gnkpp0,328,dyjr458hcmrcy87fsabfsy87o
Dante Figueroa Ndziba,Defender,FC Nordsjælland Under 19,769647,,,1305,
Daníel Leó Grétarsson,Defender,SønderjyskE,57429,czpstoiy12awqpasz573ckp91,328,dyjr458hcmrcy87fsabfsy87o
Daris Catak,Midfielder,FC Midtjylland Under 19,738382,,,1305,
Daryosh Popalzai,Defender,,2373098,1583,1305,
Darío Esteban Osorio Osorio,Midfielder,FC Midtjylland,714791,,,335,29actv1ohj8r10kd9hu0jnb0n
David Boison Frimpong,Forward,FC København Under 19,1022976,,,1305,
David Chernet,Defender,Hellerup IK,1055905,,,329,
David Gideon Boateng Wurst,Midfielder,Sønderjyske Under 19,944194,,,1305,
David Glibstrup Manata,Forward,Odense BK Under 17,898876,,,1305,
David Katlego Hansen,Forward,FC København Under 19,748630,,,1305,
David Korf Hjort,,Vejgaard Boldspilklub,1063752,,,43319,
David Stojanovic,Defender,,2714794,7131,1305,
Denil Daniel Castillo Preciado,Midfielder,FC Midtjylland,643940,,,335,29actv1ohj8r10kd9hu0jnb0n
Deniz Can Evcil,Defender,Odder IGF,826152,,,43319,
Dennis Anghel Olaru,Midfielder,SønderjyskE Under 19,1186196,,,1305,
Dennis Smarsch,Goalkeeper,Horsens,433009,5yba82zd6d308j4r85swaurjd,328,dyjr458hcmrcy87fsabfsy87o
Deshawn Lawrence,Defender,Akademisk Boldklub Under 17,1099949,eu574m78nqv6a5638b44oquqc,328,dyjr458hcmrcy87fsabfsy87o
Devon Bernasko Appu,Midfielder,Frederiksberg Alliancen 2000,1129950,,,43319,
Diallo Sanoussi,Midfielder,FC Nordsjælland,1094075,1ayq3kfm2hc6xq9q9lzridnh0,335,29actv1ohj8r10kd9hu0jnb0n
Dimitri Christian Kassekar,Midfielder,FC Helsingør,672748,,,329,
Dimitrije Viktor Jensen,Goalkeeper,Sundby BK,676794,eps93ehgmx8ft3kjo4zvy63o4,43319,
Dino Alijagic,Midfielder,Boldklubben af 1893 Under 19,957205,7kpojg6qp0943wdweelu6w9hw,328,dyjr458hcmrcy87fsabfsy87o
Dion Veliqi,Forward,IF Lyseng,619560,,,1305,
Diouf Ameth,Forward,FC Helsingør,1140832,,,329,
Ditlev Gade,Midfielder,Silkeborg IF Under 17,768977,7fkc01xxyl1trj3uav134ehyi,1305,
Django Warmerdam,Defender,Lyngby,283942,6my743on19jmzmlq0crx3mq51,328,dyjr458hcmrcy87fsabfsy87o
Doguhan Aral Şimşir,Forward,FC Midtjylland,471107,4zrsiizdbzwwkmit3ta0f0dbe,335,29actv1ohj8r10kd9hu0jnb0n
Dominik Kotarski,Goalkeeper,FC København,423152,c5h1yhzg9ouq6ru7oi24cfe21,335,29actv1ohj8r10kd9hu0jnb0n
Dominik Sarapata,Midfielder,,1350882,1996bj9h8gkbj71nz1wjgpqz2plas,335,29actv1ohj8r10kd9hu0jnb0n
Donart Bedjeti,Forward,Frederiksberg Alliancen 2000,908553,bhsfahebxovo3dr1nz5nzqn10,328,dyjr458hcmrcy87fsabfsy87o
Donavan Kafo Bagou,Forward,Hellerup IK,607033,1hlx5mvl8th7y82gocnuxacd0,43319,
Dorian Junior Hanza Meha,Forward,Viborg FF,710744,,,335,29actv1ohj8r10kd9hu0jnb0n
Dulat Talyspaev,Goalkeeper,HB Køge,924798,2lc9bt5639t572il73e9y04,328,dyjr458hcmrcy87fsabfsy87o
Ebbe Facius,Defender,VSK Århus,542572,,,329,
Edward Chilufya,Forward,FC Midtjylland,505811,bcscjb9jdgu4ims9n3vwuj5k9,335,29actv1ohj8r10kd9hu0jnb0n
Egill Orri Arnarsson,Defender,FC Midtjylland Under 19,872292,,,1305,
Egzon Zekiri,Midfielder,Næstved BK,958168,,,43319,
Ekemini Ime,Midfielder,AGF Under 19,1132684,c6hq7kn725ess24o2w4ixbaei,1305,
Ekene Chukwuani,Forward,,1983276,92219piw0xnt2pfr68znrf62g7622,1305,
Elias Andersson,Defender,,717442,36970dsn7m5pm574argz1d7ofgjmj9,335,29actv1ohj8r10kd9hu0jnb0n
Elias Arif Helms,Goalkeeper,Akademisk Boldklub Under 19,686536,,,329,
Elias Buch Idrissi,Defender,Holbæk Bold - & Idrætsforening,882056,erb2xg622lfmo3jp5lgwcsrh0,43319,
Elias Caspersen Egerton,Forward,Aarhus Fremad,700514,,,329,
Elias Christiansen,Defender,Aalborg BK Under 19,868847,djxtqxvqxd70prbr1gkwjp3sa,1305,
Elias Frej Sahl Møller Jensen,Midfielder,Sønderjyske Under 17,981479,,,1305,
Elias Genssler Broberg,Midfielder,,2714676,9137,1305,
Elias Hansborg-Sørensen,Forward,FC Fredericia,624743,ewh6t7yo6clfewu89uznll9uc,335,29actv1ohj8r10kd9hu0jnb0n
Elias Hjort Pedersen,Forward,SønderjyskE Under 19,766684,f239q43hdwrm7u7mu5jqyk91x,1305,
Elias Jes Jønson,Midfielder,Odder IGF,579427,,,1305,
Elias Langfeldt Eriksen,Forward,Sundby BK,1098005,cty7nsrs5yn785m330c2gbwq2,43319,
Elias Medina Hansen,Goalkeeper,,2714676,9158,1305,
Elias Møller Rasmussen,Forward,Odense BK Under 17,949728,v5l81gxg2i8p5imhugkqiexg,1305,
Elias Rusborg,Defender,Frederiksberg Alliancen 2000,579394,expisj0yt6l9v1kof4or2ak4q,43319,
Elias Rørsted Christensen,Defender,FC Helsingør Under 19,748647,,,329,
Elias Valentin Andersen,Midfielder,Middelfart,682037,xd4gm9uiq807dri1gs3ltclw,328,dyjr458hcmrcy87fsabfsy87o
Elias Warming Petersen,Defender,,2373896,1453f0zavvz5xl62afoulc9ho019m,335,29actv1ohj8r10kd9hu0jnb0n
Elies Mahmoud,Midfielder,Randers FC,677678,d1j2a0az2datf1l2efdzne7vu,335,29actv1ohj8r10kd9hu0jnb0n
Eliot Azmy Saaby Guindy,Goalkeeper,FC Helsingør,690829,,,1305,
Elison Makolli,Defender,AaB,776258,697f50qoetodmfe8ybcuey2ac,1305,
Elliot Batchelor,Goalkeeper,,2373176,9168,1305,
Elías Rafn Ólafsson,Goalkeeper,FC Midtjylland,476093,d1ozyon1o7dj04eaiwvpg3rah,1305,
Eman Subasic,Midfielder,,2373384,6720,335,29actv1ohj8r10kd9hu0jnb0n
Emil Bramsen,Defender,,718790,5838,1305,
Emil Bachmann,Defender,,2714095,9905,1305,
Emil Bodholdt-Larsen,Defender,Vanløse IF,448986,,,335,29actv1ohj8r10kd9hu0jnb0n
Emil Borella Jensen,Midfielder,Brønshøj BK,625199,eps93ehgmx8ft3kjo4zvy63o4,328,dyjr458hcmrcy87fsabfsy87o
Emil Busk Clausen,Goalkeeper,Randers FC Under 17,1172447,6dzg820946z4848whaa6ny2nd,1305,
Emil Colding,Midfielder,Vejgaard Boldspilklub,522634,,,43319,
Emil Dahl Gürsoy,Midfielder,,2995877,7880,43319,
Emil Dissing,Defender,VSK Århus,624682,,,1305,
Emil Grud Kjær,Midfielder,Thisted FC,682104,e0jb28mjif4jyoqtmbcqv1ai2,1305,
Emil Grønn Pedersen,Forward,Vendsyssel FF,490856,,,329,
Emil Helt,Midfielder,AGF Under 19,1098963,dz4wqn00gel71p7qs7qqycb9,1305,
Emil Jørgensen,Goalkeeper,,7108623,449vrzye4jqrafujmjw3wakjpxw,43319,
Emil Klingenberg,Goalkeeper,,2373098,1603,1305,
Emil Lagergaard,Defender,Thisted FC,450467,,,329,
Emil Larsen,Defender,Esbjerg,766591,hs41rtcymn2opk4ban2pxh5g,328,dyjr458hcmrcy87fsabfsy87o
Emil Lundquist,Midfielder,Sundby BK,1085391,,,43319,
Emil Monrad,Defender,Viborg FF Under 19,934411,,,335,29actv1ohj8r10kd9hu0jnb0n
Emil Morgan Larsen,Midfielder,Brøndby IF Under 19,1051575,hs41rtcymn2opk4ban2pxh5g,1305,
Emil Mygind Jensen,Forward,,7464449,0623,329,
Emil Niemann,Goalkeeper,,2561379,8310,328,dyjr458hcmrcy87fsabfsy87o
Emil Nørmark Christensen,Defender,B 93,340893,ewncq8niyuy1y332aqzsbedck,335,29actv1ohj8r10kd9hu0jnb0n
Emil Otkjær Walløe,Midfielder,Hørsholm-Usserød IK,1215277,,,43319,
Emil Pedersen,Midfielder,,765100,f239q43hdwrm7u7mu5jqyk91x,329,
Emil Pisani Laugesen,Midfielder,Randers FC Under 19,818695,,,1305,
Emil Rosberg Møller,Defender,B 93,612339,,,328,dyjr458hcmrcy87fsabfsy87o
Emil Schou Jørgensen,Defender,BK Frem 1886,682504,vrzye4jqrafujmjw3wakjpxw,43319,
Emil Søgård Jensen,Defender,Hobro,372290,,,328,dyjr458hcmrcy87fsabfsy87o
Emil Sørensen,Forward,Hørsholm-Usserød IK,123277,ewh6t7yo6clfewu89uznll9uc,43319,
Emil Thomsen,Midfielder,Hellerup IK,562518,dqp8e2et9fm9r6zo47u1njq50,329,
Emil Thor Nielsen,Forward,Hellerup IK,629044,,,329,
Emil Tiedemann Jensen,Goalkeeper,AC Horsens Under 17,961452,,,1305,
Emil Vestergaard,Forward,Odder IGF,577945,f58yr2jmfp8kpgprfxbokt1t6,329,
Emil Villumsen,Defender,HB Køge,738377,18g25rcpd99fe1gvr48uoqmtw,328,dyjr458hcmrcy87fsabfsy87o
Emil Walder Junge,Defender,VSK Århus,524506,bvzilw5dj1p2jpm3etbjke61g,1305,
Emil Wass,Midfielder,BK Frem 1886,449001,etz3rjq7chhaomst5u28nnff9,328,dyjr458hcmrcy87fsabfsy87o
Emilio Acunto-de Lorenzo,Midfielder,Hellerup IK,449052,,,329,
Emilio Simonsen,Midfielder,FC Fredericia,527511,5rgwuoboh1keb2gf21wcw5dqt,335,29actv1ohj8r10kd9hu0jnb0n
Emmanuel Delmas Yaby Aby,Defender,Hvidovre,748624,,,328,dyjr458hcmrcy87fsabfsy87o
Emmanuel Moungam,Defender,,6717112,53443rmn2fyc7lk554svshy798s9g,1305,
Emmanuel Alase,Forward,,2372911,83190,1305,
Emmanuel Bonaventure Dennis,Forward,Brøndby IF,444152,,,335,29actv1ohj8r10kd9hu0jnb0n
Emmanuel Ifeanyi Ogude,Forward,Nykøbing FC,275936,b12s22klt31o16liuuce95n11,335,29actv1ohj8r10kd9hu0jnb0n
Emre Alici,Midfielder,,623809,7l7f98nn8gohmdacsdb2labkk,43319,
Engin Kanturovski,Midfielder,Ishøj IF,1073500,,,43319,
Enis Zeqiri,Midfielder,SønderjyskE Under 19,1028620,,,1305,
Eric Kahl,Defender,AGF,633197,cgkvw4q8ddcjl0po181upzwx6,335,29actv1ohj8r10kd9hu0jnb0n
Eric Voufack,Defender,Kolding,576890,5d57rssywlhqtf3a70gh2ra7e,328,dyjr458hcmrcy87fsabfsy87o
Erik Nissen,Defender,Aarhus Fremad,441926,ecavckbyx6xmni5tglua8o25l,328,dyjr458hcmrcy87fsabfsy87o
Erkan Semovski,Forward,HB Køge,705604,8qzac8nxm8nxbckdaisnooutw,1305,
Ertugrul Tekşen,Forward,Holbæk Bold - & Idrætsforening,449241,3xv9nwet09rpt8hnkx7munrsa,1305,
Eskild Munk Dall,Forward,FC Fredericia,561595,,,335,29actv1ohj8r10kd9hu0jnb0n
Eskild Nørholm Frederiksen,Defender,AC Horsens Under 15,1135566,cty7nsrs5yn785m330c2gbwq2,1305,
Essam Salamoun,Midfielder,Ishøj IF,412018,antm5oo1jm123zizf3gwjzt2h,328,dyjr458hcmrcy87fsabfsy87o
Etienne Green,Goalkeeper,FC Fredericia,546850,ebddkdhm6fhar2ir2h7azhslw,335,29actv1ohj8r10kd9hu0jnb0n
Eugene Ampofoh Amankwah,Defender,AaB,831058,,,335,29actv1ohj8r10kd9hu0jnb0n
Fallou Sene,Forward,Horsens,629166,ohjn9tgx28c0qssvrdvzr5zo,328,dyjr458hcmrcy87fsabfsy87o
Felix Sommer,Defender,Randers FC Under 19,880507,77ukg02lmfn6r70xfkw9607op,1305,
Felix Arian Bundgaard Bonabi,Midfielder,,680663,,,43319,
Felix Beijmo,Defender,AGF,347591,aswmi1pnkzkvkexp8ngief6j9,335,29actv1ohj8r10kd9hu0jnb0n
Felix Breivik Taraldset,Forward,,724882,5237,1305,
Felix Nygaard Skovholm,Defender,Aalborg BK Under 19,703499,,,1305,
Felix Vrede Winther,Midfielder,FC Fredericia,449755,,,335,29actv1ohj8r10kd9hu0jnb0n
Felix Østergaard,Goalkeeper,Brønshøj BK,1100431,70o0ov66mbihi7ay4rdqx43px4,43319,
Filip Bundgaard Kristensen,Forward,Brøndby IF,609365,,,335,29actv1ohj8r10kd9hu0jnb0n
Filip Lesniak,Midfielder,Kolding,241854,3q6uah3ucqhk39bymyfma9xp1,328,dyjr458hcmrcy87fsabfsy87o
Filip Đukić,Goalkeeper,Viborg FF,471964,d9hh01mit4geyadol3gmzco9,1305,
Fisnik Isaki,Forward,B 93,579401,86mx27krl6c613x6e3t9g3cic,335,29actv1ohj8r10kd9hu0jnb0n
Florian Danho,Forward,,1623268,357054ipja7wrxji6kn8yw5uhr6ga,335,29actv1ohj8r10kd9hu0jnb0n
Franculino Gluda Djú,Forward,FC Midtjylland,752487,,,335,29actv1ohj8r10kd9hu0jnb0n
Frederik Alves Ibsen,Defender,Brøndby IF,519629,,,1305,
Frederik Damkjer,Midfielder,Viborg FF,786374,95nyhb9eanuobgbkdccyrwob8,335,29actv1ohj8r10kd9hu0jnb0n
Frederik Thykær Rieper,Defender,FC Fredericia,570798,,,329,
Frederik B. Andersen,Goalkeeper,,2373796,1231,1305,
Frederik Brandhof,Midfielder,Horsens,335707,ca1b5707pdpx0ucug40ggnahh,328,dyjr458hcmrcy87fsabfsy87o
Frederik Brink Lauersen,Defender,,673317,69173,1305,
Frederik Bunten Kjeldal,Midfielder,FC Midtjylland Under 19,769220,,,1305,
Frederik Bæk Vestergaard,Midfielder,,2372976,8980f58yr2jmfp8kpgprfxbokt1t6,1305,
Frederik Carstensen,Forward,AC Horsens Under 17,932109,an7okg1fciccqu6300k8phisq,1305,
Frederik Christensen,Forward,Næstved BK,337146,ewncq8niyuy1y332aqzsbedck,329,
Frederik Dietz,Defender,Hobro,621798,ebd3uvtt54wkdsahc2127j02c,328,dyjr458hcmrcy87fsabfsy87o
Frederik Donslund,Goalkeeper,Odense BK Under 19,869201,,,1305,
Frederik Edvard Brink de Fønss,Goalkeeper,,2714910,17790,1305,
Frederik Emil Hedegaard Heiselberg,Forward,Hillerød,577565,,,335,29actv1ohj8r10kd9hu0jnb0n
Frederik Emmery,Forward,AGF,765120,76av5tb8cxhmr0yh3pbmk8npw,335,29actv1ohj8r10kd9hu0jnb0n
Frederik Enggaard Jensen,Goalkeeper,,3779582,9963eps93ehgmx8ft3kjo4zvy63o4,329,
Frederik Engqvist,Forward,,7497680,614e0nkqbugb4xkpluu5e42zf2ms,329,
Frederik Fenger,Midfielder,,2995868,469080s55a7uw8kypoikefwhtdm5m,43319,
Frederik Gottfredsen Pedersen,Midfielder,Odder IGF,519619,f239q43hdwrm7u7mu5jqyk91x,43319,
Frederik Grube,Midfielder,Aarhus Fremad,450283,186mdd3akww1wyxdc9ouw6kno,329,
Frederik Grünwaldt,Forward,Holbæk Bold - & Idrætsforening,814418,,,43319,
Frederik Gytkjær,Forward,Lyngby,224165,deyq3zqd0vwc821ngqldxqor9,328,dyjr458hcmrcy87fsabfsy87o
Frederik Hjort-Pedersen,Midfielder,,6512910,12781cj408e51oxbgw9dy6gt5ftyc4,1305,
Frederik Holst,Midfielder,BK Fremad Amager,560128,j4dopnj90j99t46el27ettjp,335,29actv1ohj8r10kd9hu0jnb0n
Frederik Høgh Jensen,Forward,Hvidovre,462085,,,328,dyjr458hcmrcy87fsabfsy87o
Frederik Ibsen,Midfielder,Silkeborg IF Under 17,947132,7k2c7wgoywy7boesjer5578q1,1305,
Frederik Ibsen,Goalkeeper,B 93,471965,7k2c7wgoywy7boesjer5578q,335,29actv1ohj8r10kd9hu0jnb0n
Frederik Juul Christensen,Midfielder,,7104449,476ewncq8niyuy1y332aqzsbedck,329,
Frederik Kristensen,Midfielder,FC Helsingør,497213,emi8qy4aaxle4m9n9e32d7wno,43319,
Frederik Lauenborg,Midfielder,Randers FC,380839,o7nooyu95nab78ys541e3uuh,1305,
Frederik Lesley Schmidt Petersen,Midfielder,FC København Under 19,765372,,,1305,
Frederik Lindbøg Børsting,Forward,AaB,331196,,,328,dyjr458hcmrcy87fsabfsy87o
Frederik Lindgaard,Defender,Akademisk Boldklub,681248,zz41eb1d2adroumddsak3x1w,329,
Frederik Lund,Defender,Odder IGF,449599,u00hmc53sisukhmvf5ug0lqs,43319,
Frederik Mortensen,Midfielder,Hobro,484721,eas91my7qw7etoha5plxfk9yi,328,dyjr458hcmrcy87fsabfsy87o
Frederik Munck,Midfielder,Ishøj IF,519691,9gr9rdahnavv0irjauh5xim8k,43319,
Frederik Møller,Forward,Kolding,625645,tmcnw2lx5r40x2n1jgk198us,43319,
Frederik Nedergaard,Midfielder,Odder IGF,624648,8ompseotpu6l6ms7h523x2f4k,1305,
Frederik Nielsen,Midfielder,Odder IGF,579426,mp4e2knxubc5sncgd6p4j4lw,1305,
Frederik Noer,Goalkeeper,,3833911,01576lj2cud00467q9r230utegcet,329,
Frederik Normann Hedegaard Jørgensen,Defender,Brabrand IF,453316,,,329,
Frederik Nygaard Jürgensen,Midfielder,Sønderjyske Under 19,709268,,,1305,
Frederik Nørgaard Hald,Goalkeeper,Odder IGF,496186,,,1305,
Frederik Overdahl Pedersen,Defender,Esbjerg fB Under 19,813133,f239q43hdwrm7u7mu5jqyk91x,1305,
Frederik Roslyng Christiansen,Defender,,2496678,037,1305,
Frederik Silas Konstmann,Defender,Næstved BK Under 19,748634,,,1305,
Frederik Skov Christensen,Defender,Sundby BK,522622,,,43319,
Frederik Sloth,Forward,Skive IK,449090,,,329,
Frederik Sövndahl,Defender,VSK Århus,682537,,,43319,
Frederik Tingager,Defender,AGF,289668,6my7s0ezr6jldotm1w6nk7b9x,335,29actv1ohj8r10kd9hu0jnb0n
Frederik Valdbjørn,Midfielder,Hellerup IK,514804,,,329,
Frederik Vinther Palle,Midfielder,,7497980,693,329,
Frederik Warrer,Defender,Skive IK,624722,ce6gikhvmfn8km63yyod2xz4k,329,
Frederik Winding,Midfielder,FC Helsingør,814095,,,329,
Fredrik Bennedsgaard Carlsen,Midfielder,,2579449,139,335,29actv1ohj8r10kd9hu0jnb0n
Fredrik Krogstad,Midfielder,Hvidovre,367924,dm6xpphbyyooqriwaambi7njd,328,dyjr458hcmrcy87fsabfsy87o
Frej Elkjær Andersen,Defender,3647523,,,511,1305
Friday Ubi Etim,Forward,FC Fredericia,772504,8ilf7i6y4c9ezpgddh5h3ohlg,335,29actv1ohj8r10kd9hu0jnb0n
Gabriel Duarte Santos,Forward,,2714410,44763dp55sn2vl9mg3tpjby7peun3e,1305,
Gabriel Larsen,Midfielder,HB Køge,762322,hs41rtcymn2opk4ban2pxh5g,328,dyjr458hcmrcy87fsabfsy87o
Gabriel Papyan,Midfielder,VSK Århus,640614,,,329,
Gabriel Pereira Magalhães dos Santos,Defender,FC København,625186,,,335,29actv1ohj8r10kd9hu0jnb0n
Gabriel Petersen,Midfielder,Hørsholm-Usserød IK,1215287,f0zavvz5xl62afoulc9ho019m,43319,
Gabriel Vennemus El Husseiny,Midfielder,Vanløse IF,679402,,,43319,
Gabriël Çulhacı,Defender,HB Køge,478750,1icurh5jrnw1e6jdgqxjnhdnu,328,dyjr458hcmrcy87fsabfsy87o
Gavin Beavers,Goalkeeper,Brøndby IF,679087,844k9wmnxkk24xsjd4fdb4rca,335,29actv1ohj8r10kd9hu0jnb0n
Georg Ejsing,Midfielder,,2373070,163,328,dyjr458hcmrcy87fsabfsy87o
Georg Holgersen Kaspersen,Defender,,2561297,1633,1305,
Georg Hyldahl Kirkeby,,Hørsholm-Usserød IK,1215288,,,43319,
German Onugkha,Forward,4510530,524babnrlnt04mal0268p9dxas8a,335,29actv1ohj8r10kd9hu0jnb0n
Gift Links,Midfielder,AGF,443851,4vmgmzg2004twoc39sk7zkzqh,335,29actv1ohj8r10kd9hu0jnb0n
Giorgi Tabatadze,Defender,Vejle Boldklub,771159,d1uqdyoqq6vyafeqbnsi6xo2c,335,29actv1ohj8r10kd9hu0jnb0n
Giran Pyne-Cole,Forward,Sundby BK,514805,5n7gv24a4vr4pvxzo3pgrh6hg,43319,
Glad Efe Egbedi,Forward,AGF Under 19,1098968,,,1305,
Graham Nil Ankamah Ankamafio,Defender,FC København Under 19,748626,,,1305,
Gregers Arndal-Lauritzen,Defender,Hillerød,510674,5i6n6yne6fh410vk7p7kkokmi,1305,
Gregor Bozic,Midfielder,Vejle Boldklub Under 19,1224455,,,1305,
Gudlaugur Victor Pálsson,Defender,Horsens,590104,braldrfw3y7g030lctguuuol,328,dyjr458hcmrcy87fsabfsy87o
Gunnar Orri Olsen,Midfielder,FC København Under 19,827347,eio7c1yr3ax6phyvlfbxb0k45,1305,
Gustav Fritz Wybrandt Rasmussen,Goalkeeper,FC København Under 19,769019,,,1305,
Gustav Ruby-Johansen,Defender,Brøndby IF Under 19,769204,,,1305,
Gustav Bjerge,Defender,Hobro,682103,8uqsrzfe8mnhs8v3ii2v7b2tw,335,29actv1ohj8r10kd9hu0jnb0n
Gustav Bonde Dahl,Midfielder,Vejgaard Boldspilklub,603969,f3h1bxnw3fq8m10ck132bic4p,43319,
Gustav Bøgild Nørøxe,Defender,Randers FC Under 19,847885,,,1305,
Gustav Callø,Forward,Skive IK,622986,9delpquqv81o7ftrgefb0wpp0,329,
Gustav Drest Wagner,Defender,,751362,4808,43319,
Gustav Grubbe Madsen,Defender,OB,552464,,,328,dyjr458hcmrcy87fsabfsy87o
Gustav Højbjerg,Defender,,7105577,579f2hab1q8nrvah7j2k5ci0edxw,329,
Gustav Johan Holm,Forward,Hørsholm-Usserød IK,622048,,,43319,
Gustav Junge,Forward,VSK Århus,622566,bvzilw5dj1p2jpm3etbjke61g,329,
Gustav Leone Fraulo,Midfielder,Lyngby,624710,87kc5hjp3ry2z624wty5h7g4q,328,dyjr458hcmrcy87fsabfsy87o
Gustav Mortensen,Defender,,5083620,801eas91my7qw7etoha5plxfk9yi,1305,
Gustav Nørregaard Knudsen,Goalkeeper,Vejle Boldklub,679284,,,1305,
Gustav Overgaard Hansen,Defender,BK Frem 1886,570604,,,43319,
Gustav Ring,,BK Frem 1886,1214204,clhez1a3cwyb0bl4wt6pi9ql1,43319,
Gustav Rubæk Tilsted,Defender,Aalborg BK Under 19,851699,,,1305,
Gustav Smith Balle,Defender,IF Lyseng,624784,e42hrrv2iw9g7yw0gvtc1dwd0,43319,
Gustav Stenderup,Defender,Hørsholm-Usserød IK,622031,a30gduuv9d1s4pkthgu2jhyol,43319,
Gustav Street Lundqvist,Forward,Sundby BK,1085395,,,43319,
Gustav Toft Jacobsen,Defender,Esbjerg fB Under 19,769014,apnkoe9xl3fbnxbj2zx1horh0,1305,
Gustav Tranbjerg,Defender,Esbjerg fB Under 19,847212,,,1305,
Gustav Wagner Frederiksen,Midfielder,Sundby BK,681328,cty7nsrs5yn785m330c2gbwq2,328,dyjr458hcmrcy87fsabfsy87o
Gustav Wulff,Midfielder,Odense BK Under 19,742173,,,1305,
Gustav Ærenlund Johansen,Midfielder,FC Helsingør Under 19,738641,dz8s1baxo3lpznfol2rlfdmhg,328,dyjr458hcmrcy87fsabfsy87o
Gustav Marcussen,Forward,FC Fredericia,347368,ayxi2m0g0pm6rl1ba5pto66z9,1305,
